@relation cpu-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class numeric

@data
0.005394,0.039016,0.039978,0.511719,0.230769,0.136364,0.234266
0.005394,0.039016,0.039978,0.511719,0.230769,0.136364,0.316433
0.022252,0.080035,0.162913,0.117188,0.230769,0.136364,0.022727
0.022252,0.080035,0.162913,0.117188,0.230769,0.136364,0.049825
0.026298,0.162074,0.326983,0.117188,0.230769,0.136364,0.087412
0.031693,0.162074,0.326983,0.117188,0.230769,0.136364,0.176573
0.022252,0.013652,0.03028,0.03125,0.019231,0.022727,0.012238
0.022252,0.029309,0.061562,0.03125,0.019231,0.028409,0.020105
0.022252,0.060621,0.124124,0.03125,0.019231,0.028409,0.056818
0.022252,0.029309,0.061562,0.03125,0.057692,0.028409,0.017482
0.022252,0.029309,0.124124,0.03125,0.057692,0.028409,0.026224
0.022252,0.060621,0.249249,0.03125,0.057692,0.028409,0.02972
0.022252,0.060621,0.249249,0.03125,0.057692,0.034091,0.04021
0.022252,0.060621,0.249249,0.03125,0.057692,0.034091,0.047203
0.07822,0.029309,0.186687,0.035156,0.057692,0.068182,0.057692
0.07822,0.029309,0.124124,0.035156,0.057692,0.068182,0.057692
0.534727,0.014028,0.007007,0.03125,0.019231,0.005682,0.010489
0.534727,0.029309,0.077202,0,0.019231,0.005682,0.012238
0.204316,0.014028,0.124124,0.015625,0.019231,0.028409,0.02972
0.123398,0.014028,0.124124,0.03125,0.019231,0.045455,0.048951
0.460553,0.01002,0.124124,0,0.019231,0.005682,0.015734
0.460553,0.006012,0.03028,0,0.019231,0.005682,0.015734
0.08294,0.029309,0.249249,0.0625,0.019231,0.017046,0.115385
0.123398,0.029309,0.124124,0,0.019231,0.011364,0.026224
0.062711,0.029309,0.061562,0.0625,0.019231,0.011364,0.017482
0.062711,0.029309,0.186687,0.0625,0.019231,0.011364,0.047203
0.136885,0.029309,0.124124,0.0625,0.019231,0.011364,0.056818
0.527984,0.006012,0.124124,0,0.019231,0.022727,0.005245
0.527984,0.006012,0.124124,0,0.019231,0.022727,0.006993
0.527984,0.006012,0.124124,0,0.019231,0.022727,0.012238
0.527984,0.006012,0.124124,0,0.019231,0.022727,0.008741
0.527984,0.006012,0.124124,0,0.019231,0.022727,0.013986
0.072825,0.014028,0.01464,0,0.153846,0.113636,0.026224
0.03911,0.060621,0.124124,0.25,0.019231,0.215909,0.120629
0.03911,0.060621,0.249249,0.25,0.019231,0.215909,0.120629
0.03911,0.060621,0.249249,0.5,0.019231,0.215909,0.221154
0.049225,0.006012,0.01464,0,0.057692,0.056818,0.009615
0.059339,0.006012,0.03028,0,0.057692,0.056818,0.017482
0.059339,0.029309,0.061562,0,0.057692,0.136364,0.022727
0.059339,0.060621,0.061562,0.03125,0.057692,0.107955,0.022727
0.03911,0.060621,0.124124,0.03125,0.057692,0.136364,0.048951
0.03911,0.091934,0.124124,0.03125,0.057692,0.272727,0.050699
0.106541,0.006012,0.03028,0,0.057692,0.136364,0.013986
0.190829,0.022044,0.045921,0,0.115385,0.136364,0.026224
0.190829,0.022044,0.045921,0.023438,0.115385,0.136364,0.033217
0.190829,0.022044,0.186687,0.023438,0.115385,0.136364,0.038461
0.190829,0.022044,0.069382,0,0.019231,0.136364,0.034091
0.190829,0.01002,0.186687,0.023438,0.019231,0.136364,0.041084
0.190829,0.004008,0.011011,0.023438,0.115385,0.136364,0.026224
0.109912,0.022044,0.186687,0.023438,0.019231,0.176136,0.068182
0.211059,0.029309,0.045921,0,0.038462,0.022727,0.008741
0.190829,0.029309,0.061562,0.03125,0.057692,0.363636,0.027972
0.190829,0.029309,0.249249,0.03125,0.038462,0.636364,0.027972
0.211059,0.029309,0.03028,0,0.019231,0.011364,0.008741
0.211059,0.029309,0.061562,0,0.057692,0.034091,0.013986
0.08294,0.060621,0.061562,0,0.057692,0.034091,0.020105
0.08294,0.060621,0.061562,0,0.076923,0.045455,0.02972
0.08294,0.060621,0.061562,0.03125,0.019231,0.113636,0.02535
0.08294,0.060621,0.4995,0.125,0.019231,0.113636,0.111888
0.08294,0.060621,0.124124,0.125,0.019231,0.306818,0.052448
0.08294,0.060621,0.4995,0.125,0.019231,0.306818,0.118007
0.08294,0.060621,0.4995,0.125,0.019231,0.306818,0.159965
0.08294,0.060621,0.061562,0.03125,0.019231,0.113636,0.013986
0.026972,0.123247,0.249249,0.003906,0.115385,0.068182,0.11014
0.026972,0.123247,0.374374,0.25,0.230769,0.090909,0.201923
0.006069,0.498998,0.4995,0.25,0.307692,0.136364,0.401224
0.006069,0.498998,0.4995,0.25,0.153846,0.136364,0.401224
0.006069,0.248497,0.4995,0,0.153846,0.136364,0.236888
0.006069,0.248497,0.249249,0,0.153846,0.090909,0.156468
0.312205,0.001002,0.007007,0,0.019231,0.005682,0
0.125421,0.029309,0.03028,0,0.019231,0.028409,0.015734
0.066082,0.014028,0.092843,0.0625,0.019231,0.034091,0.034091
0.730277,0.014028,0.02246,0,0.019231,0.005682,0.000874
0.730277,0.022044,0.03028,0,0.019231,0.005682,0.006119
0.393122,0.022044,0.03028,0,0.019231,0.005682,0.008741
0.25826,0.060621,0.061562,0,0.019231,0.005682,0.022727
0.25826,0.123247,0.124124,0,0.019231,0.005682,0.022727
0.595415,0.029309,0.01464,0,0.019231,0.011364,0.004371
0.595415,0.014028,0.01464,0,0.019231,0.011364,0.004371
0.595415,0.029309,0.061562,0.015625,0.019231,0.011364,0.010489
0.595415,0.029309,0.061562,0.03125,0.019231,0.011364,0.013986
0.595415,0.060621,0.061562,0,0.057692,0.034091,0.027098
0.140256,0.060621,0.061562,0.03125,0.057692,0.034091,0.02972
0.140256,0.060621,0.061562,0.03125,0.057692,0.034091,0.024476
0.109912,0.060621,0.124124,0.03125,0.019231,0.034091,0.038461
0.113284,0.060621,0.249249,0.0625,0.019231,0.034091,0.061189
0.109912,0.060621,0.249249,0.0625,0.019231,0.034091,0.052448
0.140256,0.029309,0.061562,0.007812,0.057692,0.034091,0.015734
0.005394,0.060621,0.186687,0.03125,0.019231,0.022727,0.037587
0.005394,0.060621,0.186687,0.0625,0.057692,0.028409,0.052448
0,0.123247,0.249249,0.03125,0.115385,0.068182,0.082168
0,0.123247,0.249249,0.125,0.115385,0.068182,0.111014
1,0.022044,0.01464,0,0,0,0.005245
1,0.022044,0.03028,0,0,0,0.010489
0.527984,0.022044,0.03028,0,0,0,0.012238
0.022252,0.060621,0.061562,0,0.057692,0.034091,0.018357
0.022252,0.060621,0.124124,0.03125,0.057692,0.034091,0.034091
0.022252,0.060621,0.124124,0.03125,0.019231,0.034091,0.043706
0.022252,0.060621,0.249249,0.09375,0.019231,0.034091,0.055944
0.022252,0.060621,0.249249,0.09375,0.019231,0.034091,0.064685
0.022252,0.248497,0.249249,0.1875,0.019231,0.056818,0.113636
0.055968,0.029309,0.124124,0,0.038462,0.034091,0.008741
0.055968,0.029309,0.124124,0.09375,0.038462,0.034091,0.017482
0.055968,0.029309,0.124124,0.09375,0.057692,0.034091,0.022727
0.022252,0.060621,0.249249,0.046875,0.057692,0.090909,0.034091
0.022252,0.060621,0.249249,0.09375,0.115385,0.090909,0.041958
0.022252,0.060621,0.249249,0.09375,0.115385,0.090909,0.051573
0.089683,0.014028,0.061562,0,0.153846,0.727273,0.020979
0.066082,0.060621,0.124124,0.0625,0.019231,0.017046,0.038461
0.066082,0.060621,0.061562,0.007812,0.019231,0.028409,0.02972
0.050573,0.060621,0.124124,0.125,0.019231,0.034091,0.048951
0.050573,0.060621,0.124124,0.125,0.019231,0.034091,0.047203
0.050573,0.060621,0.124124,0.015625,0.019231,0.034091,0.038461
0.03911,0.123247,0.249249,0.0625,0.019231,0.034091,0.052448
0.028995,0.123247,0.249249,0.125,0.019231,0.034091,0.06993
0.028995,0.060621,0.249249,0.25,0.096154,0.045455,0.05944
0.028995,0.123247,0.249249,0.25,0.096154,0.045455,0.076049
0.022252,0.123247,0.249249,0.25,0.096154,0.056818,0.091783
0.037087,0.123247,0.249249,0.25,0.153846,0.090909,0.119755
0.037087,0.060621,0.124124,0.0625,0.115385,0.045455,0.086538
0.015509,0.248497,0.249249,0.125,0.153846,0.090909,0.181818
0.015509,0.248497,0.4995,0.25,0.153846,0.136364,0.236888
0.012138,0.248497,0.4995,0.25,0.153846,0.136364,0.318182
0.014161,0.498998,0.4995,0.5,0.307692,0.181818,0.440559
0.020904,0.123247,0.374374,0.125,0.153846,0.136364,0.181818
0.014161,0.248497,0.4995,0.25,0.153846,0.136364,0.27972
0.008766,0.498998,0.4995,1,0.307692,0.136364,0.440559
0.064059,0.029309,0.01464,0,0.019231,0.022727,0.001748
0.045179,0.029309,0.03028,0,0.019231,0.034091,0.005245
0.026298,0.029309,0.061562,0,0.019231,0.034091,0.009615
0.026298,0.060621,0.092843,0,0.019231,0.045455,0.013112
0.026298,0.060621,0.124124,0,0.019231,0.045455,0.015734
0.026298,0.123247,0.124124,0,0.019231,0.045455,0.024476
0.026298,0.123247,0.186687,0,0.019231,0.045455,0.031468
0.026298,0.123247,0.249249,0,0.019231,0.045455,0.034965
0.014161,0.123247,0.124124,0.125,0.307692,0.181818,0.039336
0.014161,0.123247,0.124124,0.125,0.307692,0.181818,0.096154
0.014161,0.248497,0.249249,0.25,0.076923,0.045455,0.082168
0.014161,0.248497,0.374374,0.625,0.076923,0.045455,0.117133
0.014161,0.123247,0.249249,0.5,0.307692,0.181818,0.18007
0.123398,0.029309,0.03028,0,0.019231,0.011364,0.016608
0.123398,0.029309,0.061562,0,0.019231,0.022727,0.020979
0.123398,0.060621,0.124124,0.25,0.019231,0.028409,0.030594
0.157114,0.014028,0.061562,0,0.019231,0.039773,0.016608
0.157114,0.014028,0.061562,0,0.076923,0.039773,0.038461
0.157114,0.029309,0.249249,0.003906,0.019231,0.045455,0.038461
0.096426,0.014028,0.061562,0.007812,0.019231,0.028409,0.020979
0.096426,0.014028,0.03028,0.007812,0.057692,0.045455,0.022727
0.096426,0.029309,0.061562,0.03125,0.019231,0.079545,0.027972
0.096426,0.029309,0.124124,0.0625,0.019231,0.079545,0.047203
0.096426,0.060621,0.124124,0.125,0.019231,0.073864,0.090035
0.150371,0.014028,0.01464,0.03125,0.019231,0.017046,0
0.150371,0.014028,0.03028,0.03125,0.019231,0.028409,0.004371
0.059339,0.060621,0.061562,0.03125,0.057692,0.045455,0.013986
0.059339,0.060621,0.092843,0.0625,0.115385,0.090909,0.023601
0.059339,0.060621,0.124124,0.0625,0.076923,0.079545,0.045455
0.023601,0.123247,0.249249,0.125,0.076923,0.068182,0.108391
0.035738,0.123247,0.186687,0.03125,0.115385,0.045455,0.060315
0.028321,0.123247,0.186687,0.125,0.115385,0.068182,0.093531
0.028321,0.248497,0.249249,0.25,0.230769,0.136364,0.159091
0.006069,0.248497,0.374374,0.125,0.153846,0.090909,0.145979
0.006069,0.248497,0.4995,0.25,0.230769,0.090909,0.211538
0.006069,0.248497,0.4995,0.5,0.461539,0.181818,0.348776
0.066757,0.060621,0.124124,0.125,0.096154,0.159091,0.055944
0.022252,0.060621,0.4995,0.09375,0.115385,0.147727,0.094406
0.022252,0.060621,0.4995,0.1875,0.5,0.295455,0.176573
0.022252,0.060621,0.4995,0.4375,1,0.590909,0.263112
0.022252,0.123247,0.4995,0.4375,1,0.590909,0.341783
0.008766,0.248497,1,0.375,0.230769,1,0.79458
0.008766,0.248497,1,0.5,0.230769,1,1
0.109912,0.0062,0.061562,0,0.019231,0.017046,0.005245
0.109912,0.014028,0.061562,0,0.019231,0.017046,0.006993
0.109912,0.0062,0.061562,0,0.019231,0.017046,0.010489
0.109912,0.014028,0.061562,0,0.019231,0.017046,0.013112
0.072151,0.029309,0.124124,0,0.019231,0.045455,0.031468
0.054619,0.029309,0.124124,0.125,0.038462,0.045455,0.034965
0.072825,0.060621,0.124124,0,0.038462,0.079545,0.04021
0.312205,0.014028,0.124124,0.125,0,0,0.053322
0.312205,0.029309,0.061562,0,0,0,0.034091
